Time Stamp,User,Compound,Positive,Neutral,Negative,Tweet,Tweet_Ago
1/30/2019,@Boeing,0.5719,0.198,0.802,0,"We booked $36B in new orders for @BoeingDefense, including wins on #NewBoeingTX, #MQ25 and #MH139. https://t.co/aEuLrvn2AV",37
1/30/2019,@Boeing,0.5106,0.202,0.798,0,"Solid year of commercial milestones – delivered the first 787-10, 787th 787 and 256 737 MAX airplanes; healthy sale… https://t.co/4cQymwGr44",38
1/30/2019,@Boeing,0.5106,0.191,0.809,0,LIVE: record results on strong performance across the business – check it out: https://t.co/kbg1Z7yW5M $BA https://t.co/s8L74xSBpj,39
1/30/2019,@Boeing,0,0,1,0,"#Boeing reports record 2018 results and provides 2019 guidance. $BA
Learn more: https://t.co/X1684uU135 https://t.co/cW2d54sMrf",40
1/26/2019,@Boeing,0.4926,0.225,0.775,0,@elonmusk @techreview Thanks @elonmusk! One step towards transforming the future of mobility.,41
1/25/2019,@Boeing,0,0,1,0,RT @BoeingDefense: The first two @USAirForce #KC46 tankers will land at McConnell Air Force Base soon! Follow @22ARW to catch the action an…,42
1/25/2019,@Boeing,0.4199,0.108,0.892,0,RT @BoeingDefense: LIVE NOW: We’re ready for take off! See the delivery of the first two #KC46  tankers headed for McConnell Air Force Base…,43
1/24/2019,@Boeing,0.3612,0.088,0.912,0,RT @BoeingDefense: Thank you so much for joining us today as we handed over the #KC46 keys to the #USAF. Tune in tomorrow morning for the f…,44
1/24/2019,@Boeing,0.7269,0.21,0.79,0,"RT @BoeingDefense: They built it with their own hands. 👋
Now the team that builds #KC46 tanker is welcoming the @USAirForce to the Everett…",45
1/24/2019,@Boeing,0.5106,0.136,0.864,0,RT @BoeingCEO: Still energized from my @wef discussion on the future of mobility – check out some highlights from the World Economic Forum.…,46
1/24/2019,@Boeing,0.4199,0.259,0.741,0,RT @BoeingDefense: All ready for @22ARW #TeamMcConnell! #KC46 https://t.co/0pu2pk6CXY,47
1/23/2019,@Boeing,0,0,1,0,"RT @BizRoundtable: ""Representing business leaders who collectively employ more than 15 million workers in every sector of the U.S. economy,…",48
1/23/2019,@Boeing,0.4939,0.167,0.833,0,BREAKING: It’s another first for us. Along with @AuroraFlightSci we’ve successfully tested our passenger air vehicl… https://t.co/CLDkHBOAk6,49
1/22/2019,@Boeing,0.7713,0.328,0.591,0.081,We’re honored to be ranked again as the No. 1 Aerospace &amp; Defense Most Admired Company of 2019 by @FortuneMagazine.… https://t.co/o4w0wP0T8M,50
1/17/2019,@Boeing,0.1779,0.134,0.866,0,Next-generation communications need next-generation solutions. #BoeingHorizonX invests in @isotropicsystem to bette… https://t.co/Tvn03Tr1pg,51
1/15/2019,@Boeing,-0.4574,0,0.8,0.2,"RT @BoeingDefense: Four Fighting Falcons fly high with Pegasus! 
@USAirForce-#Boeing #KC46 tanker refuels multiple F-16 fighters -- demonst…",52
