Date,Open,High,Low,Close,Adj Close,Volume
2011-12-27,73.680000,74.489998,73.370003,74.269997,61.752518,2536700
2011-12-28,74.480003,74.599998,73.029999,73.260002,60.912743,2568200
2011-12-29,73.440002,74.360001,73.309998,74.110001,61.619488,2749300
2011-12-30,73.860001,74.080002,73.239998,73.349998,60.987591,2811800
2012-01-03,74.699997,75.000000,74.120003,74.220001,61.710960,6859300
2012-01-04,74.099998,74.599998,73.589996,74.330002,61.802383,4923000
2012-01-05,73.769997,73.900002,72.739998,73.529999,61.137230,6797900
2012-01-06,73.730003,74.269997,72.949997,73.980003,61.511406,4779800
2012-01-09,74.809998,74.870003,74.180000,74.529999,61.968712,4469600
2012-01-10,75.129997,75.339996,74.500000,75.000000,62.359482,4622400
2012-01-11,74.779999,74.949997,74.230003,74.739998,62.143303,3082700
2012-01-12,74.809998,75.690002,74.779999,75.510002,62.783531,3934500
2012-01-13,75.040001,75.199997,74.160004,74.599998,62.026913,4641100
2012-01-17,75.300003,76.000000,75.139999,75.239998,62.559025,3700100
2012-01-18,74.949997,75.449997,74.769997,75.059998,62.409351,4189500
2012-01-19,75.269997,75.919998,75.099998,75.559998,62.825081,5397300
2012-01-20,75.680000,75.900002,75.139999,75.519997,62.791828,4552300
2012-01-23,75.660004,76.370003,75.320000,75.510002,62.783531,4083700
2012-01-24,75.059998,75.620003,74.599998,75.360001,62.658810,4942700
2012-01-25,73.970001,76.699997,72.849998,75.820000,63.041283,14049100
2012-01-26,75.839996,76.360001,75.000000,75.309998,62.617222,4187400
2012-01-27,74.800003,75.230003,74.400002,74.550003,61.985321,4754600
2012-01-30,73.989998,74.349998,73.680000,74.160004,61.661060,5043000
2012-01-31,74.510002,75.199997,73.959999,74.180000,61.677666,4777200
2012-02-01,74.959999,75.889999,74.959999,75.370003,62.667118,4296400
2012-02-02,75.199997,75.330002,74.500000,75.220001,62.542419,3528100
2012-02-03,76.089996,76.739998,75.860001,76.339996,63.473629,3472400
2012-02-06,75.260002,75.550003,75.160004,75.459999,62.741940,4162500
2012-02-07,75.040001,75.349998,74.300003,75.199997,62.525768,4438700
2012-02-08,74.709999,75.650002,74.510002,75.459999,63.111233,5350000
2012-02-09,75.779999,76.230003,75.370003,75.900002,63.479221,4491100
2012-02-10,75.449997,75.559998,74.570000,74.949997,62.684677,3361700
2012-02-13,75.500000,75.510002,74.750000,74.849998,62.601040,3456500
2012-02-14,75.510002,75.570000,74.900002,75.559998,63.194847,4652000
2012-02-15,75.860001,76.000000,75.000000,75.209999,62.902134,4252400
2012-02-16,75.040001,75.470001,74.870003,75.269997,62.952305,4992800
2012-02-17,75.529999,75.550003,75.019997,75.349998,63.019241,4927300
2012-02-21,75.669998,75.949997,75.080002,75.720001,63.328667,3978100
2012-02-22,75.559998,76.300003,75.309998,76.059998,63.613033,3764800
2012-02-23,75.760002,76.169998,75.519997,75.849998,63.437401,4187200
2012-02-24,75.750000,76.639999,75.629997,76.059998,63.613033,3347000
2012-02-27,75.690002,75.779999,75.010002,75.209999,62.902134,5379400
2012-02-28,75.180000,75.410004,74.809998,75.160004,62.860336,3667400
2012-02-29,75.279999,75.720001,74.750000,74.949997,62.684677,4631800
2012-03-01,74.959999,75.629997,74.860001,75.080002,62.793415,3343100
2012-03-02,75.070000,75.279999,74.629997,74.900002,62.642872,2806600
2012-03-05,74.949997,74.980003,73.930000,74.129997,61.998852,4156800
2012-03-06,73.239998,73.239998,72.300003,72.559998,60.685776,5455700
2012-03-07,72.580002,73.699997,72.510002,73.519997,61.488689,4279000
2012-03-08,74.269997,74.699997,73.830002,74.169998,62.032307,3881200
2012-03-09,74.139999,74.309998,73.169998,73.290001,61.296333,5535900
2012-03-12,73.199997,74.029999,73.199997,73.599998,61.555595,2833500
2012-03-13,73.879997,74.349998,73.379997,74.309998,62.149418,4532700
2012-03-14,74.320000,75.379997,74.309998,75.230003,62.918850,5297100
2012-03-15,75.500000,75.629997,74.879997,75.430000,63.086124,4850700
2012-03-16,75.760002,75.809998,75.000000,75.199997,62.893768,7079200
2012-03-19,75.000000,75.690002,75.000000,75.400002,63.061031,2683800
2012-03-20,75.089996,75.470001,74.519997,75.139999,62.843597,4384000
2012-03-21,75.050003,75.440002,74.800003,75.010002,62.734867,3644100
2012-03-22,74.620003,74.660004,73.370003,73.919998,61.823238,4921400
2012-03-23,74.050003,74.339996,73.750000,73.970001,61.865044,2518400
2012-03-26,74.519997,75.230003,74.470001,75.180000,62.877033,3715800
2012-03-27,75.110001,75.250000,74.800003,74.809998,62.567596,3510700
2012-03-28,74.989998,75.290001,73.900002,74.330002,62.166122,3412200
2012-03-29,73.769997,74.150002,72.949997,74.080002,61.957062,3587600
2012-03-30,74.320000,74.440002,73.779999,74.370003,62.199593,3203800
2012-04-02,74.000000,75.470001,73.610001,75.169998,62.868690,4104600
2012-04-03,75.000000,75.110001,74.150002,74.650002,62.433777,3485900
2012-04-04,73.970001,74.199997,73.489998,73.669998,61.614162,2490500
2012-04-05,73.419998,73.889999,73.300003,73.589996,61.547230,2640200
2012-04-09,72.629997,72.790001,72.269997,72.430000,60.577080,2443400
2012-04-10,72.250000,72.309998,70.589996,70.599998,59.046539,5339000
2012-04-11,71.629997,72.510002,71.489998,71.769997,60.025085,5099900
2012-04-12,71.690002,73.830002,71.690002,73.500000,61.471973,3938800
2012-04-13,73.180000,73.379997,72.370003,72.919998,60.986893,3329100
2012-04-16,72.980003,73.190002,72.300003,72.680000,60.786160,4800000
2012-04-17,73.129997,74.360001,73.099998,74.089996,61.965405,3345300
2012-04-18,73.580002,74.239998,73.470001,73.709999,61.647594,2248900
2012-04-19,73.730003,73.959999,72.660004,73.099998,61.137428,3729300
2012-04-20,73.269997,74.029999,73.099998,73.550003,61.513794,4302100
2012-04-23,72.690002,73.129997,72.169998,72.860001,60.936699,5022100
2012-04-24,73.209999,73.739998,72.769997,73.209999,61.229416,3664500
2012-04-25,75.050003,77.500000,74.900002,77.080002,64.466125,10621200
2012-04-26,76.709999,77.199997,76.550003,76.989998,64.390839,4704700
2012-04-27,77.279999,77.570000,76.900002,77.269997,64.625008,4168700
2012-04-30,76.510002,76.870003,75.680000,76.800003,64.231934,5811100
2012-05-01,76.589996,77.830002,75.849998,77.250000,64.608284,4287600
2012-05-02,76.769997,77.500000,76.339996,77.260002,64.616653,3073500
2012-05-03,77.129997,77.330002,76.519997,76.830002,64.257004,3304800
2012-05-04,76.349998,76.559998,75.500000,75.839996,63.429035,3366400
2012-05-07,75.790001,76.080002,75.370003,75.959999,63.529400,3551800
2012-05-08,75.379997,75.599998,74.550003,75.400002,63.061031,4033400
2012-05-09,74.250000,74.860001,73.320000,74.050003,62.295498,3926600
2012-05-10,74.459999,75.070000,73.629997,73.800003,62.085175,2952700
2012-05-11,73.589996,74.110001,73.250000,73.559998,61.883263,3189000
2012-05-14,72.889999,73.790001,72.349998,73.120003,61.513115,3585700
2012-05-15,73.000000,73.669998,72.419998,72.580002,61.058826,3252300
2012-05-16,72.820000,73.510002,72.290001,72.349998,60.865353,3648100
2012-05-17,72.309998,72.480003,69.459999,69.730003,58.661236,6172200
2012-05-18,69.949997,70.339996,68.930000,69.150002,58.173302,5597400
2012-05-21,70.459999,71.849998,70.139999,71.779999,60.385815,4709700
2012-05-22,71.650002,72.209999,71.080002,71.480003,60.133450,4269400
2012-05-23,70.690002,71.629997,69.919998,71.570000,60.209164,4222700
2012-05-24,71.639999,71.949997,70.250000,71.389999,60.057739,2942600
2012-05-25,71.209999,71.389999,69.660004,70.000000,58.888367,5163300
2012-05-29,70.279999,70.500000,69.750000,70.400002,59.224880,3973600
2012-05-30,69.879997,70.089996,69.250000,69.389999,58.375202,4677600
2012-05-31,69.540001,70.110001,69.070000,69.610001,58.560280,4191400
2012-06-01,68.669998,68.879997,67.139999,67.239998,56.566498,5592000
2012-06-04,68.150002,68.150002,67.050003,67.500000,56.785213,5478200
2012-06-05,67.309998,67.699997,66.820000,67.580002,56.852528,3747300
2012-06-06,67.970001,69.019997,67.959999,69.019997,58.063942,4050300
2012-06-07,69.570000,70.330002,69.430000,69.949997,58.846310,4004600
2012-06-08,69.660004,69.970001,69.269997,69.940002,58.837898,3933400
2012-06-11,70.610001,70.849998,69.800003,70.110001,58.980911,4369400
2012-06-12,70.930000,72.820000,70.739998,72.580002,61.058826,6458100
2012-06-13,72.410004,72.699997,71.570000,72.059998,60.621376,4720300
2012-06-14,72.080002,72.300003,71.389999,71.849998,60.444702,5822900
2012-06-15,72.089996,72.379997,71.580002,71.989998,60.562481,5308300
2012-06-18,71.690002,72.339996,71.250000,71.900002,60.486763,3435200
2012-06-19,72.360001,73.220001,72.019997,72.919998,61.344872,4167200
2012-06-20,72.699997,73.459999,72.349998,73.010002,61.420578,3468700
2012-06-21,73.349998,73.620003,71.250000,71.370003,60.040916,3659300
2012-06-22,71.550003,72.099998,71.070000,71.959999,60.537254,3267300
2012-06-25,71.809998,71.919998,71.029999,71.050003,59.771702,4111400
2012-06-26,71.300003,71.629997,70.480003,70.930000,59.670734,2757600
2012-06-27,70.980003,72.040001,70.949997,71.870003,60.461544,2514600
2012-06-28,71.150002,71.739998,70.629997,71.580002,60.217567,3144600
2012-06-29,73.059998,74.370003,72.889999,74.300003,62.505810,4419400
2012-07-02,74.209999,74.739998,72.449997,73.180000,61.563587,4893400
2012-07-03,73.080002,74.269997,73.080002,74.269997,62.480568,2166200
2012-07-05,74.379997,74.739998,73.849998,74.440002,62.623592,2539000
2012-07-06,73.779999,73.809998,72.900002,73.690002,61.992649,3579100
2012-07-09,74.269997,74.849998,73.800003,74.029999,62.278664,4357700
2012-07-10,74.629997,75.050003,72.889999,73.220001,61.597256,4756700
2012-07-11,72.690002,72.760002,71.230003,71.519997,60.167088,6072200
2012-07-12,71.199997,72.019997,70.849998,71.709999,60.326931,5799800
2012-07-13,71.930000,73.559998,71.849998,73.510002,61.841209,3616000
2012-07-16,73.129997,73.190002,72.250000,72.970001,61.386921,3538400
2012-07-17,73.250000,73.510002,72.040001,73.110001,61.504700,2775700
2012-07-18,72.709999,74.440002,72.709999,73.889999,62.160877,3756200
2012-07-19,73.989998,75.110001,73.699997,74.860001,62.976929,4543200
2012-07-20,74.500000,74.800003,73.610001,73.889999,62.160877,3148100
2012-07-23,72.309998,73.080002,71.580002,72.910004,61.336441,3432200
2012-07-24,72.870003,73.169998,71.349998,72.029999,60.596130,3866500
